"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /kaur/actuator/health/",137264,61,66,71,76,100,160,330,500,2351
"None Total",137264,61,66,71,76,100,160,330,500,2351
