"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/kaur/actuator/health/",137264,0,61,79,38,2351,49,1177.18
"None","Total",137264,0,61,79,38,2351,49,1177.18
